Idx,Phase_Label,Advantage,Proprio_0 (x),Proprio_1 (y),Proprio_2 (z),Proprio_Gripper,Tgt_Pose_0_x,Tgt_Pose_0_y,Tgt_Pose_0_z,Tgt_Grip_0
52,0,-4.9463,0.144,0.023,0.098,0.079,0.543,0.134,0.529,0.00
53,0,-4.7983,0.144,0.024,0.098,-0.003,0.543,0.133,0.529,0.00
54,0,-4.6527,0.144,0.024,0.098,-0.003,0.543,0.133,0.529,0.00
55,0,-4.5067,0.144,0.023,0.098,-0.002,0.543,0.133,0.528,0.00
56,0,-4.3598,0.144,0.023,0.098,-0.000,0.543,0.134,0.526,0.00
57,0,-4.2118,0.144,0.021,0.098,0.021,0.545,0.134,0.521,0.00
58,0,-4.0572,0.145,0.022,0.098,0.029,0.550,0.136,0.498,0.00
59,0,-3.9004,0.146,0.028,0.099,0.022,0.554,0.138,0.475,0.00
60,0,-3.7477,0.146,0.034,0.100,0.024,0.555,0.139,0.470,0.00
61,0,-3.5973,0.147,0.036,0.100,0.024,0.555,0.139,0.464,0.00
62,0,-3.4461,0.147,0.038,0.101,0.025,0.557,0.140,0.452,0.00
63,0,-3.2938,0.147,0.043,0.101,0.026,0.558,0.140,0.447,0.00
64,0,-3.1408,0.148,0.045,0.101,0.026,0.559,0.141,0.441,0.00
65,0,-2.9863,0.148,0.048,0.102,0.027,0.560,0.141,0.436,1.00
66,1,-2.8303,0.148,0.051,0.102,0.023,0.560,0.142,0.431,1.00
67,1,-2.6740,0.148,0.054,0.102,0.018,0.560,0.142,0.425,1.00
68,1,-2.5181,0.148,0.056,0.102,-0.005,0.560,0.142,0.425,1.00
69,1,-2.3662,0.148,0.055,0.102,-0.002,0.560,0.142,0.424,1.00
70,2,-2.2106,0.148,0.054,0.102,-0.001,0.560,0.142,0.424,1.00
71,2,-2.0525,0.148,0.054,0.102,-0.001,0.560,0.141,0.424,1.00
72,2,-1.8924,0.148,0.054,0.102,0.000,0.560,0.141,0.427,1.00
73,2,-1.7327,0.148,0.055,0.102,-0.007,0.559,0.141,0.431,1.00
74,2,-1.5744,0.148,0.054,0.102,-0.008,0.559,0.141,0.435,1.00
75,2,-1.4144,0.148,0.052,0.102,-0.002,0.559,0.141,0.440,1.00
76,2,-1.2508,0.148,0.050,0.102,-0.001,0.559,0.141,0.445,1.00
77,2,-1.0830,0.148,0.049,0.102,0.000,0.558,0.141,0.449,1.00
78,2,-0.9111,0.148,0.048,0.102,0.001,0.558,0.141,0.458,1.00
79,2,-0.7350,0.148,0.047,0.102,0.002,0.558,0.141,0.462,1.00
80,2,-0.5528,0.148,0.047,0.102,0.003,0.558,0.142,0.465,1.00
81,2,-0.3667,0.150,0.047,0.103,0.293,0.557,0.146,0.468,1.00
